# 251216_16:45:10.490177
t	CH1	CH2
0.000000e+00	-1.298021e-03	-3.538340e+00
1.000000e-08	7.162499e-04	-3.566920e+00
2.000000e-08	-6.007098e-03	-3.588467e+00
3.000000e-08	-1.227541e-03	-3.619474e+00
4.000000e-08	-5.379227e-04	-3.599476e+00
5.000000e-08	-5.072394e-03	-3.621028e+00
6.000000e-08	-2.004681e-03	-3.632629e+00
7.000000e-08	-1.414599e-03	-3.665605e+00
8.000000e-08	-4.485996e-04	-3.674639e+00
9.000000e-08	-5.737759e-03	-3.675343e+00
1.000000e-07	2.410392e-03	-3.748977e+00
1.100000e-07	-4.177657e-03	-3.790496e+00
1.200000e-07	9.374306e-05	-3.882630e+00
1.300000e-07	-5.134816e-03	-3.824204e+00
1.400000e-07	2.050200e-03	-3.916337e+00
1.500000e-07	-6.036234e-03	-3.966391e+00
1.600000e-07	7.417459e-04	-3.957923e+00
1.700000e-07	-2.339653e-03	-3.969398e+00
1.800000e-07	1.687943e-03	-4.008997e+00
1.900000e-07	-4.862360e-03	-4.000525e+00
2.000000e-07	1.328764e-03	-4.021026e+00
2.100000e-07	-3.765856e-03	-4.040552e+00
2.200000e-07	2.805310e-04	-4.062704e+00
2.300000e-07	-3.469143e-03	-4.052587e+00
2.400000e-07	7.738978e-04	-4.053755e+00
2.500000e-07	-3.921714e-03	-4.095715e+00
2.600000e-07	-3.914539e-04	-4.126263e+00
2.700000e-07	-2.205230e-03	-4.176835e+00
2.800000e-07	-1.589738e-03	-4.138371e+00
2.900000e-07	-3.041642e-03	-4.199396e+00
3.000000e-07	-6.785548e-04	-4.209048e+00
3.100000e-07	-1.163745e-03	-4.210923e+00
3.200000e-07	-1.433974e-03	-4.231999e+00
3.300000e-07	-5.234841e-04	-4.262629e+00
3.400000e-07	-1.379520e-03	-4.272154e+00
3.500000e-07	-8.013499e-04	-4.273183e+00
3.600000e-07	-3.210595e-03	-4.335258e+00
3.700000e-07	-7.475319e-04	-4.285763e+00
3.800000e-07	-2.183547e-03	-4.313340e+00
3.900000e-07	-5.506012e-04	-4.317912e+00
4.000000e-07	-2.479181e-03	-4.357867e+00
4.100000e-07	4.787164e-04	-4.356919e+00
4.200000e-07	-2.455507e-03	-4.358922e+00
4.300000e-07	3.618243e-07	-4.369471e+00
4.400000e-07	-3.244940e-03	-4.368946e+00
4.500000e-07	-2.947138e-04	-4.410000e+00
4.600000e-07	-3.675054e-03	-4.420476e+00
4.700000e-07	1.538964e-04	-4.421525e+00
4.800000e-07	-1.663580e-03	-4.400026e+00
4.900000e-07	-7.172261e-04	-4.421551e+00
5.000000e-07	-1.562259e-03	-4.431550e+00
5.100000e-07	-3.199093e-04	-4.431604e+00
5.200000e-07	-1.683170e-03	-4.419577e+00
5.300000e-07	-1.064832e-03	-4.432682e+00
5.400000e-07	-1.461680e-03	-4.463682e+00
5.500000e-07	-1.176487e-03	-4.474658e+00
5.600000e-07	-1.654070e-03	-4.474261e+00
5.700000e-07	-1.627146e-03	-4.493236e+00
5.800000e-07	-2.032988e-03	-4.526709e+00
5.900000e-07	-4.018582e-04	-4.466816e+00
6.000000e-07	-1.129427e-03	-4.515788e+00
6.100000e-07	-1.066736e-03	-4.557367e+00
6.200000e-07	-4.742516e-04	-4.556421e+00
6.300000e-07	-9.170158e-04	-4.577372e+00
6.400000e-07	-1.078453e-03	-4.568317e+00
6.500000e-07	-1.946646e-03	-4.578946e+00
6.600000e-07	-1.017572e-03	-4.589971e+00
6.700000e-07	-9.995060e-04	-4.598401e+00
6.800000e-07	4.011184e-04	-4.598997e+00
6.900000e-07	-6.952423e-04	-4.580071e+00
7.000000e-07	1.069685e-03	-4.581456e+00
7.100000e-07	-9.011877e-04	-4.589046e+00
7.200000e-07	1.209268e-04	-4.632005e+00
7.300000e-07	-1.642767e-03	-4.608598e+00
7.400000e-07	-1.077593e-04	-4.580580e+00
7.500000e-07	-7.332033e-04	-4.613054e+00
7.600000e-07	1.379366e-03	-4.642058e+00
7.700000e-07	3.445476e-04	-4.621076e+00
7.800000e-07	-1.581589e-04	-4.621654e+00
7.900000e-07	-7.595752e-04	-4.622108e+00
8.000000e-07	6.093893e-04	-4.680654e+00
8.100000e-07	2.412519e-04	-4.642082e+00
8.200000e-07	1.525811e-04	-4.602132e+00
8.300000e-07	8.919045e-04	-4.651082e+00
8.400000e-07	9.358648e-04	-4.622157e+00
8.500000e-07	7.232399e-05	-4.652527e+00
8.600000e-07	1.079529e-03	-4.661155e+00
8.700000e-07	9.659898e-04	-4.632058e+00
8.800000e-07	1.246480e-03	-4.622103e+00
8.900000e-07	1.596828e-03	-4.653630e+00
9.000000e-07	1.012197e-03	-4.631158e+00
9.100000e-07	1.759243e-03	-4.611450e+00
9.200000e-07	7.601655e-04	-4.643180e+00
9.300000e-07	1.659642e-03	-4.651504e+00
9.400000e-07	3.781733e-04	-4.619527e+00
9.500000e-07	2.164046e-03	-4.651025e+00
9.600000e-07	1.656643e-03	-4.620601e+00
9.700000e-07	1.884460e-03	-4.577551e+00
9.800000e-07	2.008290e-03	-4.598957e+00
9.900000e-07	1.869523e-03	-4.629047e+00
1.000000e-06	1.243824e-03	-4.549001e+00
1.010000e-06	1.681239e-03	-4.591599e+00
1.020000e-06	1.379899e-03	-4.569420e+00
1.030000e-06	1.709509e-03	-4.589023e+00
1.040000e-06	1.798670e-03	-4.547997e+00
1.050000e-06	2.204488e-03	-4.547000e+00
1.060000e-06	1.974048e-03	-4.556346e+00
1.070000e-06	1.573897e-03	-4.537921e+00
1.080000e-06	1.273589e-03	-4.515365e+00
1.090000e-06	2.012539e-03	-4.526293e+00
1.100000e-06	2.300536e-03	-4.505791e+00
1.110000e-06	1.795986e-03	-4.514288e+00
1.120000e-06	1.905726e-03	-4.493138e+00
1.130000e-06	2.619313e-03	-4.483733e+00
1.140000e-06	1.994091e-03	-4.423137e+00
1.150000e-06	1.798836e-03	-4.474156e+00
1.160000e-06	1.802587e-03	-4.460664e+00
1.170000e-06	8.643063e-04	-4.410630e+00
1.180000e-06	1.313494e-03	-4.421529e+00
1.190000e-06	7.081310e-04	-4.430005e+00
1.200000e-06	1.384424e-03	-4.432051e+00
1.210000e-06	2.197786e-03	-4.409998e+00
1.220000e-06	1.339490e-03	-4.410028e+00
1.230000e-06	1.353710e-03	-4.420026e+00
1.240000e-06	6.280515e-04	-4.389476e+00
1.250000e-06	-3.230138e-05	-4.387975e+00
1.260000e-06	9.884080e-04	-4.369424e+00
1.270000e-06	8.721854e-04	-4.366945e+00
1.280000e-06	1.090609e-03	-4.347395e+00
1.290000e-06	1.088384e-03	-4.337844e+00
1.300000e-06	1.857382e-03	-4.304871e+00
1.310000e-06	3.446091e-04	-4.326396e+00
1.320000e-06	6.461465e-04	-4.324663e+00
1.330000e-06	6.221615e-04	-4.261189e+00
1.340000e-06	1.931191e-04	-4.262586e+00
1.350000e-06	4.000533e-04	-4.232658e+00
1.360000e-06	3.423784e-04	-4.262580e+00
1.370000e-06	-1.303932e-04	-4.231553e+00
1.380000e-06	1.217644e-03	-4.199498e+00
1.390000e-06	8.058038e-04	-4.137949e+00
1.400000e-06	3.872913e-04	-4.157394e+00
1.410000e-06	5.107187e-04	-4.166916e+00
1.420000e-06	1.237278e-03	-4.144816e+00
1.430000e-06	5.472688e-04	-4.076316e+00
1.440000e-06	3.467871e-04	-4.083292e+00
1.450000e-06	2.181546e-04	-4.063211e+00
1.460000e-06	3.642153e-04	-4.031658e+00
1.470000e-06	1.451074e-05	-3.991054e+00
1.480000e-06	1.104162e-04	-4.021053e+00
1.490000e-06	4.942700e-04	-4.011475e+00
1.500000e-06	3.179106e-05	-3.980501e+00
1.510000e-06	9.066378e-04	-3.989474e+00
1.520000e-06	-2.094257e-04	-3.967371e+00
1.530000e-06	1.207048e-03	-3.946821e+00
1.540000e-06	-3.250399e-04	-3.937413e+00
1.550000e-06	4.834021e-04	-3.884189e+00
1.560000e-06	-7.001899e-04	-3.873133e+00
1.570000e-06	-2.030576e-04	-3.780633e+00
1.580000e-06	-6.644781e-04	-3.798578e+00
1.590000e-06	-9.062915e-04	-3.788324e+00
1.600000e-06	2.704942e-04	-3.686774e+00
1.610000e-06	6.563718e-04	-3.693210e+00
1.620000e-06	4.512927e-05	-3.663635e+00
1.630000e-06	-4.225257e-04	-3.620529e+00
1.640000e-06	-8.025526e-04	-3.610557e+00
1.650000e-06	-3.470419e-04	-3.589500e+00
1.660000e-06	-2.375795e-04	-3.589475e+00
1.670000e-06	-1.045752e-03	-3.546471e+00
1.680000e-06	-7.212550e-04	-3.537846e+00
1.690000e-06	-1.029216e-03	-3.516295e+00
1.700000e-06	-9.645909e-04	-3.474295e+00
1.710000e-06	-4.808777e-04	-3.463637e+00
1.720000e-06	-4.623421e-04	-3.452581e+00
1.730000e-06	-9.593217e-04	-3.390530e+00
1.740000e-06	-1.248826e-03	-3.409926e+00
1.750000e-06	-9.673178e-04	-3.379002e+00
1.760000e-06	-1.228332e-03	-3.347320e+00
1.770000e-06	-2.121134e-03	-3.304868e+00
1.780000e-06	-1.425119e-03	-3.304238e+00
1.790000e-06	-1.487062e-03	-3.243136e+00
1.800000e-06	-1.928545e-03	-3.201555e+00
1.810000e-06	-5.503180e-04	-3.229999e+00
1.820000e-06	-5.752780e-04	-3.188950e+00
1.830000e-06	-9.781077e-04	-3.177898e+00
1.840000e-06	-1.341215e-03	-3.136420e+00
1.850000e-06	-2.256392e-03	-3.135215e+00
1.860000e-06	-1.540618e-03	-3.063217e+00
1.870000e-06	-1.646906e-03	-3.070107e+00
1.880000e-06	-1.699158e-03	-2.977399e+00
1.890000e-06	-1.967160e-03	-2.915268e+00
1.900000e-06	-1.594456e-03	-2.852713e+00
1.910000e-06	-1.481193e-03	-2.831633e+00
1.920000e-06	-1.359439e-03	-2.820556e+00
1.930000e-06	-1.762473e-03	-2.800526e+00
1.940000e-06	-1.666370e-03	-2.799501e+00
1.950000e-06	-1.158138e-03	-2.767871e+00
1.960000e-06	-1.498906e-03	-2.746795e+00
1.970000e-06	-2.059650e-03	-2.664817e+00
1.980000e-06	-3.030851e-03	-2.663159e+00
1.990000e-06	-1.676110e-03	-2.670634e+00
2.000000e-06	-1.600722e-03	-2.610051e+00
2.010000e-06	-1.385521e-03	-2.588929e+00
2.020000e-06	-2.079507e-03	-2.534896e+00
2.030000e-06	-1.816494e-03	-2.454215e+00
2.040000e-06	-1.103471e-03	-2.475184e+00
2.050000e-06	-1.390775e-03	-2.431607e+00
2.060000e-06	-2.499799e-03	-2.410532e+00
2.070000e-06	-1.069586e-03	-2.420453e+00
2.080000e-06	-2.304436e-03	-2.369375e+00
2.090000e-06	-1.799036e-03	-2.357447e+00
2.100000e-06	-1.124337e-03	-2.306249e+00
2.110000e-06	-1.297774e-03	-2.302613e+00
2.120000e-06	-1.816048e-03	-2.262558e+00
2.130000e-06	-2.809073e-03	-2.146319e+00
2.140000e-06	-2.150290e-03	-2.096817e+00
2.150000e-06	-2.376335e-03	-2.074110e+00
2.160000e-06	-2.034041e-03	-1.990029e+00
2.170000e-06	-1.369315e-03	-2.030001e+00
2.180000e-06	-1.907344e-03	-2.008973e+00
2.190000e-06	-2.911827e-03	-1.958993e+00
2.200000e-06	-1.651828e-03	-1.914793e+00
2.210000e-06	-1.574774e-03	-1.883663e+00
2.220000e-06	-2.024789e-03	-1.863630e+00
2.230000e-06	-2.619851e-03	-1.830957e+00
2.240000e-06	-1.334454e-03	-1.788950e+00
2.250000e-06	-2.066025e-03	-1.766800e+00
2.260000e-06	-2.436095e-03	-1.726821e+00
2.270000e-06	-2.831513e-03	-1.683792e+00
2.280000e-06	-2.102606e-03	-1.632030e+00
2.290000e-06	-2.783377e-03	-1.621605e+00
2.300000e-06	-2.828303e-03	-1.599976e+00
2.310000e-06	-2.551292e-03	-1.547975e+00
2.320000e-06	-3.099243e-03	-1.566918e+00
2.330000e-06	-2.251312e-03	-1.485234e+00
2.340000e-06	-2.331068e-03	-1.387056e+00
2.350000e-06	-2.017780e-03	-1.294970e+00
2.360000e-06	-2.563265e-03	-1.283235e+00
2.370000e-06	-2.879518e-03	-1.251530e+00
2.380000e-06	-2.522305e-03	-1.199553e+00
2.390000e-06	-2.868547e-03	-1.178002e+00
2.400000e-06	-3.017258e-03	-1.125870e+00
2.410000e-06	-2.442093e-03	-1.043763e+00
2.420000e-06	-3.522089e-03	-1.061080e+00
2.430000e-06	-2.185591e-03	-1.050006e+00
2.440000e-06	-3.162529e-03	-9.904500e-01
2.450000e-06	-3.048507e-03	-9.163948e-01
2.460000e-06	-3.483871e-03	-9.057682e-01
2.470000e-06	-3.382295e-03	-8.722068e-01
2.480000e-06	-3.878330e-03	-8.316028e-01
2.490000e-06	-3.085567e-03	-8.200300e-01
2.500000e-06	-3.607070e-03	-7.995265e-01
2.510000e-06	-3.654071e-03	-7.769223e-01
2.520000e-06	-3.828706e-03	-7.148658e-01
2.530000e-06	-3.048115e-03	-6.636618e-01
2.540000e-06	-3.877854e-03	-6.285015e-01
2.550000e-06	-3.221121e-03	-5.573722e-01
2.560000e-06	-3.567408e-03	-5.038445e-01
2.570000e-06	-3.873884e-03	-4.611115e-01
2.580000e-06	-3.478116e-03	-4.205776e-01
2.590000e-06	-2.848648e-03	-3.995001e-01
2.600000e-06	-3.029425e-03	-3.488987e-01
2.610000e-06	-3.964908e-03	-3.372909e-01
2.620000e-06	-3.459031e-03	-3.132405e-01
2.630000e-06	-3.979152e-03	-2.036892e-01
2.640000e-06	-3.058380e-03	-2.126528e-01
2.650000e-06	-4.118197e-03	-1.699524e-01
2.660000e-06	-2.949198e-03	-1.774961e-01
2.670000e-06	-4.094190e-03	-1.042633e-01
2.680000e-06	-3.628508e-03	-9.411297e-02
2.690000e-06	-3.475149e-03	-5.312645e-02
2.700000e-06	-2.989120e-03	-9.500128e-03
2.710000e-06	-2.126352e-03	2.000137e-02
2.720000e-06	-7.998376e-04	4.258013e-02
2.730000e-06	-1.804172e-03	6.573413e-02
2.740000e-06	-1.062673e-03	1.272845e-01
2.750000e-06	-8.287198e-04	1.194947e-01
2.760000e-06	1.583701e-03	2.520453e-01
2.770000e-06	8.741196e-03	2.962605e-01
2.780000e-06	-1.803094e-03	3.584684e-01
2.790000e-06	8.632374e-03	4.315238e-01
2.800000e-06	1.612242e-02	4.141540e-01
2.810000e-06	-2.323411e-02	4.736569e-01
2.820000e-06	-3.565050e-02	5.051605e-01
2.830000e-06	1.954031e-02	5.262656e-01
2.840000e-06	-7.257980e-03	5.693686e-01
2.850000e-06	3.735306e-02	6.004738e-01
2.860000e-06	-8.075804e-02	6.635001e-01
2.870000e-06	7.743861e-02	6.331027e-01
2.880000e-06	-4.960918e-02	7.548619e-01
2.890000e-06	7.092197e-02	7.668422e-01
2.900000e-06	-1.105906e-01	7.979186e-01
2.910000e-06	8.763828e-02	7.905261e-01
2.920000e-06	-6.673771e-02	8.611025e-01
2.930000e-06	9.111095e-02	8.550577e-01
2.940000e-06	-9.342067e-02	9.247330e-01
2.950000e-06	7.795699e-02	9.910227e-01
2.960000e-06	-6.635869e-02	1.081227e+00
2.970000e-06	6.445823e-02	1.126260e+00
2.980000e-06	-6.243153e-02	1.129864e+00
2.990000e-06	4.883996e-02	1.169975e+00
3.000000e-06	-4.057331e-02	1.241579e+00
3.010000e-06	3.578845e-02	1.234083e+00
3.020000e-06	-2.855279e-02	1.287783e+00
3.030000e-06	5.416234e-03	1.378391e+00
3.040000e-06	-8.438835e-05	1.388574e+00
3.050000e-06	3.153662e-03	1.402074e+00
3.060000e-06	-3.783475e-03	1.474783e+00
3.070000e-06	-2.206709e-02	1.528167e+00
3.080000e-06	3.876239e-02	1.549388e+00
3.090000e-06	-3.902565e-02	1.631645e+00
3.100000e-06	1.756022e-02	1.654662e+00
3.110000e-06	-1.924115e-02	1.723810e+00
3.120000e-06	4.106437e-02	1.717316e+00
3.130000e-06	-6.793860e-02	1.798970e+00
3.140000e-06	4.908466e-02	1.821845e+00
3.150000e-06	-1.717013e-02	1.843078e+00
3.160000e-06	1.277856e-02	1.926214e+00
3.170000e-06	-5.348318e-02	1.946291e+00
3.180000e-06	6.595377e-02	1.957867e+00
