# Temperatura_=_-9.6
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135104.49829822994

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.547903e-06	-1.052463e-09	-3.836895e+01	-6.983896e+01
1.000000e-08	-5.548004e-06	-1.046852e-09	-3.836964e+01	-6.979535e+01
2.000000e-08	-5.547787e-06	-1.044416e-09	-3.836815e+01	-6.975597e+01
3.000000e-08	-5.547192e-06	-1.044266e-09	-3.836403e+01	-6.972076e+01
4.000000e-08	-5.546198e-06	-1.045819e-09	-3.835715e+01	-6.968958e+01
5.000000e-08	-5.544606e-06	-1.046870e-09	-3.834615e+01	-6.966221e+01
6.000000e-08	-5.542307e-06	-1.047887e-09	-3.833024e+01	-6.963839e+01
7.000000e-08	-5.539460e-06	-1.055519e-09	-3.831055e+01	-6.961776e+01
8.000000e-08	-5.536143e-06	-1.061692e-09	-3.828761e+01	-6.959993e+01
9.000000e-08	-5.532364e-06	-1.051073e-09	-3.826148e+01	-6.958444e+01
1.000000e-07	-5.528158e-06	-1.059433e-09	-3.823239e+01	-6.957078e+01
1.100000e-07	-5.523698e-06	-1.064987e-09	-3.820154e+01	-6.955842e+01
1.200000e-07	-5.518989e-06	-1.038807e-09	-3.816898e+01	-6.954678e+01
1.300000e-07	-5.513903e-06	-1.026802e-09	-3.813380e+01	-6.953527e+01
1.400000e-07	-5.508462e-06	-1.048239e-09	-3.809617e+01	-6.952329e+01
1.500000e-07	-5.502698e-06	-1.064993e-09	-3.805631e+01	-6.951024e+01
1.600000e-07	-5.496578e-06	-1.038765e-09	-3.801398e+01	-6.949554e+01
1.700000e-07	-5.490083e-06	-1.011632e-09	-3.796906e+01	-6.947860e+01
1.800000e-07	-5.483202e-06	-1.059473e-09	-3.792147e+01	-6.945889e+01
1.900000e-07	-5.475909e-06	-1.067232e-09	-3.787104e+01	-6.943591e+01
2.000000e-07	-5.468339e-06	-1.047373e-09	-3.781868e+01	-6.940919e+01
2.100000e-07	-5.460473e-06	-1.019434e-09	-3.776428e+01	-6.937835e+01
2.200000e-07	-5.452314e-06	-1.052403e-09	-3.770786e+01	-6.934304e+01
2.300000e-07	-5.443829e-06	-1.055923e-09	-3.764918e+01	-6.930297e+01
2.400000e-07	-5.434784e-06	-1.032230e-09	-3.758662e+01	-6.925795e+01
2.500000e-07	-5.425061e-06	-1.014635e-09	-3.751938e+01	-6.920783e+01
2.600000e-07	-5.414717e-06	-1.036067e-09	-3.744784e+01	-6.915254e+01
2.700000e-07	-5.403761e-06	-1.039632e-09	-3.737207e+01	-6.909211e+01
2.800000e-07	-5.392350e-06	-1.021639e-09	-3.729315e+01	-6.902659e+01
2.900000e-07	-5.380670e-06	-1.015083e-09	-3.721237e+01	-6.895614e+01
3.000000e-07	-5.368631e-06	-1.012956e-09	-3.712911e+01	-6.888096e+01
3.100000e-07	-5.356134e-06	-1.015828e-09	-3.704269e+01	-6.880133e+01
3.200000e-07	-5.343249e-06	-1.005937e-09	-3.695357e+01	-6.871757e+01
3.300000e-07	-5.329966e-06	-1.012103e-09	-3.686171e+01	-6.863004e+01
3.400000e-07	-5.316214e-06	-1.009159e-09	-3.676660e+01	-6.853915e+01
3.500000e-07	-5.302096e-06	-1.029243e-09	-3.666896e+01	-6.844534e+01
3.600000e-07	-5.287496e-06	-1.013050e-09	-3.656799e+01	-6.834908e+01
