# Temperatura_=_-0.2564853556485363
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135097.89265624597
# Promedio de 717 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.525503e-09	-1.191763e-09	-3.836849e+01	-8.007357e+01
1.000000e-08	-5.525688e-09	-1.190512e-09	-3.836977e+01	-8.005252e+01
2.000000e-08	-5.525628e-09	-1.189116e-09	-3.836935e+01	-8.003158e+01
3.000000e-08	-5.525225e-09	-1.187730e-09	-3.836656e+01	-8.001086e+01
4.000000e-08	-5.524355e-09	-1.185916e-09	-3.836051e+01	-7.999048e+01
5.000000e-08	-5.522933e-09	-1.182594e-09	-3.835064e+01	-7.997052e+01
6.000000e-08	-5.520918e-09	-1.179486e-09	-3.833665e+01	-7.995105e+01
7.000000e-08	-5.518308e-09	-1.180819e-09	-3.831853e+01	-7.993212e+01
8.000000e-08	-5.515158e-09	-1.179582e-09	-3.829665e+01	-7.991372e+01
9.000000e-08	-5.511529e-09	-1.174811e-09	-3.827145e+01	-7.989584e+01
1.000000e-07	-5.507478e-09	-1.186044e-09	-3.824332e+01	-7.987838e+01
1.100000e-07	-5.503106e-09	-1.205016e-09	-3.821296e+01	-7.986123e+01
1.200000e-07	-5.498521e-09	-1.174446e-09	-3.818113e+01	-7.984423e+01
1.300000e-07	-5.493700e-09	-1.147052e-09	-3.814765e+01	-7.982716e+01
1.400000e-07	-5.488507e-09	-1.160110e-09	-3.811159e+01	-7.980976e+01
1.500000e-07	-5.482898e-09	-1.196379e-09	-3.807264e+01	-7.979172e+01
1.600000e-07	-5.476927e-09	-1.188198e-09	-3.803118e+01	-7.977268e+01
1.700000e-07	-5.470574e-09	-1.154871e-09	-3.798706e+01	-7.975226e+01
1.800000e-07	-5.463775e-09	-1.177375e-09	-3.793985e+01	-7.973002e+01
1.900000e-07	-5.456570e-09	-1.220299e-09	-3.788982e+01	-7.970550e+01
2.000000e-07	-5.449069e-09	-1.211522e-09	-3.783774e+01	-7.967823e+01
2.100000e-07	-5.441321e-09	-1.171937e-09	-3.778394e+01	-7.964771e+01
2.200000e-07	-5.433319e-09	-1.176186e-09	-3.772837e+01	-7.961344e+01
2.300000e-07	-5.425033e-09	-1.207012e-09	-3.767083e+01	-7.957492e+01
2.400000e-07	-5.416329e-09	-1.211474e-09	-3.761039e+01	-7.953167e+01
2.500000e-07	-5.406989e-09	-1.195834e-09	-3.754554e+01	-7.948323e+01
2.600000e-07	-5.396925e-09	-1.195932e-09	-3.747566e+01	-7.942917e+01
2.700000e-07	-5.386246e-09	-1.193340e-09	-3.740150e+01	-7.936910e+01
2.800000e-07	-5.375079e-09	-1.181360e-09	-3.732396e+01	-7.930269e+01
2.900000e-07	-5.363496e-09	-1.173214e-09	-3.724352e+01	-7.922966e+01
3.000000e-07	-5.351548e-09	-1.179139e-09	-3.716056e+01	-7.914980e+01
3.100000e-07	-5.339225e-09	-1.183999e-09	-3.707499e+01	-7.906296e+01
3.200000e-07	-5.326474e-09	-1.194952e-09	-3.698645e+01	-7.896910e+01
3.300000e-07	-5.313301e-09	-1.194644e-09	-3.689497e+01	-7.886821e+01
3.400000e-07	-5.299762e-09	-1.185879e-09	-3.680096e+01	-7.876042e+01
3.500000e-07	-5.285842e-09	-1.182644e-09	-3.670430e+01	-7.864589e+01
3.600000e-07	-5.271478e-09	-1.183457e-09	-3.660456e+01	-7.852489e+01
3.700000e-07	-5.256659e-09	-1.167062e-09	-3.650166e+01	-7.839777e+01
3.800000e-07	-5.241340e-09	-1.167353e-09	-3.639529e+01	-7.826494e+01
3.900000e-07	-5.225457e-09	-1.182098e-09	-3.628500e+01	-7.812688e+01
4.000000e-07	-5.209084e-09	-1.169314e-09	-3.617131e+01	-7.798415e+01
4.100000e-07	-5.192360e-09	-1.154930e-09	-3.605518e+01	-7.783733e+01
4.200000e-07	-5.175317e-09	-1.176004e-09	-3.593683e+01	-7.768706e+01
4.300000e-07	-5.157955e-09	-1.175934e-09	-3.581627e+01	-7.753401e+01
4.400000e-07	-5.140287e-09	-1.142245e-09	-3.569359e+01	-7.737887e+01
4.500000e-07	-5.122252e-09	-1.153321e-09	-3.556835e+01	-7.722232e+01
