# Temperatura_=_7.8
# Concentracion g/m^3_=_1620.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135105.4959404074

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.513702e-06	-1.369609e-09	-3.836110e+01	-9.082938e+01
1.000000e-08	-5.514017e-06	-1.367637e-09	-3.836330e+01	-9.079508e+01
2.000000e-08	-5.514125e-06	-1.366890e-09	-3.836405e+01	-9.076213e+01
3.000000e-08	-5.513951e-06	-1.366824e-09	-3.836284e+01	-9.073087e+01
4.000000e-08	-5.513344e-06	-1.365993e-09	-3.835862e+01	-9.070161e+01
5.000000e-08	-5.512073e-06	-1.362443e-09	-3.834977e+01	-9.067464e+01
6.000000e-08	-5.510126e-06	-1.354025e-09	-3.833623e+01	-9.065015e+01
7.000000e-08	-5.507642e-06	-1.344351e-09	-3.831894e+01	-9.062833e+01
8.000000e-08	-5.504590e-06	-1.346389e-09	-3.829771e+01	-9.060924e+01
9.000000e-08	-5.501079e-06	-1.357984e-09	-3.827328e+01	-9.059291e+01
1.000000e-07	-5.497135e-06	-1.381736e-09	-3.824584e+01	-9.057925e+01
1.100000e-07	-5.492889e-06	-1.405062e-09	-3.821630e+01	-9.056812e+01
1.200000e-07	-5.488455e-06	-1.358466e-09	-3.818545e+01	-9.055925e+01
1.300000e-07	-5.483795e-06	-1.305015e-09	-3.815303e+01	-9.055229e+01
1.400000e-07	-5.478856e-06	-1.328600e-09	-3.811867e+01	-9.054682e+01
1.500000e-07	-5.473479e-06	-1.372570e-09	-3.808126e+01	-9.054229e+01
1.600000e-07	-5.467701e-06	-1.374627e-09	-3.804106e+01	-9.053811e+01
1.700000e-07	-5.461583e-06	-1.321667e-09	-3.799849e+01	-9.053359e+01
1.800000e-07	-5.455031e-06	-1.365618e-09	-3.795291e+01	-9.052797e+01
1.900000e-07	-5.448003e-06	-1.424442e-09	-3.790401e+01	-9.052044e+01
2.000000e-07	-5.440594e-06	-1.415805e-09	-3.785246e+01	-9.051015e+01
2.100000e-07	-5.432950e-06	-1.332692e-09	-3.779928e+01	-9.049620e+01
2.200000e-07	-5.425089e-06	-1.336794e-09	-3.774459e+01	-9.047771e+01
2.300000e-07	-5.416954e-06	-1.388568e-09	-3.768799e+01	-9.045375e+01
2.400000e-07	-5.408492e-06	-1.415204e-09	-3.762911e+01	-9.042345e+01
2.500000e-07	-5.399432e-06	-1.386159e-09	-3.756608e+01	-9.038593e+01
2.600000e-07	-5.389614e-06	-1.383916e-09	-3.749777e+01	-9.034040e+01
2.700000e-07	-5.379062e-06	-1.386019e-09	-3.742436e+01	-9.028609e+01
2.800000e-07	-5.367968e-06	-1.360706e-09	-3.734717e+01	-9.022233e+01
2.900000e-07	-5.356499e-06	-1.342888e-09	-3.726738e+01	-9.014854e+01
3.000000e-07	-5.344658e-06	-1.347496e-09	-3.718499e+01	-9.006421e+01
3.100000e-07	-5.332509e-06	-1.367746e-09	-3.710047e+01	-8.996897e+01
3.200000e-07	-5.319976e-06	-1.363685e-09	-3.701328e+01	-8.986257e+01
3.300000e-07	-5.307005e-06	-1.375146e-09	-3.692303e+01	-8.974486e+01
3.400000e-07	-5.293655e-06	-1.363429e-09	-3.683015e+01	-8.961584e+01
3.500000e-07	-5.279962e-06	-1.367792e-09	-3.673488e+01	-8.947562e+01
3.600000e-07	-5.265882e-06	-1.351932e-09	-3.663692e+01	-8.932445e+01
3.700000e-07	-5.251353e-06	-1.341491e-09	-3.653583e+01	-8.916270e+01
3.800000e-07	-5.236290e-06	-1.330736e-09	-3.643103e+01	-8.899085e+01
3.900000e-07	-5.220623e-06	-1.359674e-09	-3.632203e+01	-8.880951e+01
4.000000e-07	-5.204382e-06	-1.346705e-09	-3.620904e+01	-8.861937e+01
4.100000e-07	-5.187768e-06	-1.330458e-09	-3.609345e+01	-8.842121e+01
4.200000e-07	-5.170966e-06	-1.346741e-09	-3.597655e+01	-8.821589e+01
4.300000e-07	-5.153841e-06	-1.361673e-09	-3.585740e+01	-8.800434e+01
4.400000e-07	-5.136294e-06	-1.312981e-09	-3.573532e+01	-8.778751e+01
4.500000e-07	-5.118394e-06	-1.317127e-09	-3.561079e+01	-8.756640e+01
4.600000e-07	-5.100109e-06	-1.354622e-09	-3.548357e+01	-8.734201e+01
4.700000e-07	-5.081343e-06	-1.319128e-09	-3.535301e+01	-8.711532e+01
4.800000e-07	-5.062203e-06	-1.274690e-09	-3.521984e+01	-8.688733e+01
4.900000e-07	-5.042850e-06	-1.328221e-09	-3.508519e+01	-8.665895e+01
5.000000e-07	-5.023285e-06	-1.342229e-09	-3.494907e+01	-8.643107e+01
5.100000e-07	-5.003482e-06	-1.291570e-09	-3.481129e+01	-8.620451e+01
5.200000e-07	-4.983451e-06	-1.306742e-09	-3.467193e+01	-8.598001e+01
5.300000e-07	-4.963136e-06	-1.336907e-09	-3.453059e+01	-8.575820e+01
5.400000e-07	-4.942442e-06	-1.292739e-09	-3.438661e+01	-8.553965e+01
5.500000e-07	-4.921403e-06	-1.284860e-09	-3.424023e+01	-8.532480e+01
5.600000e-07	-4.899998e-06	-1.322310e-09	-3.409131e+01	-8.511398e+01
5.700000e-07	-4.878223e-06	-1.287051e-09	-3.393981e+01	-8.490744e+01
5.800000e-07	-4.856126e-06	-1.257736e-09	-3.378608e+01	-8.470529e+01
5.900000e-07	-4.833603e-06	-1.298994e-09	-3.362938e+01	-8.450754e+01
6.000000e-07	-4.810757e-06	-1.304681e-09	-3.347043e+01	-8.431410e+01
6.100000e-07	-4.787725e-06	-1.263991e-09	-3.331018e+01	-8.412479e+01
6.200000e-07	-4.764377e-06	-1.279159e-09	-3.314774e+01	-8.393932e+01
6.300000e-07	-4.740771e-06	-1.287090e-09	-3.298350e+01	-8.375735e+01
6.400000e-07	-4.716989e-06	-1.258436e-09	-3.281804e+01	-8.357844e+01
6.500000e-07	-4.692932e-06	-1.256512e-09	-3.265067e+01	-8.340210e+01
6.600000e-07	-4.668413e-06	-1.275335e-09	-3.248008e+01	-8.322780e+01
6.700000e-07	-4.643315e-06	-1.254413e-09	-3.230546e+01	-8.305497e+01
6.800000e-07	-4.617692e-06	-1.250090e-09	-3.212720e+01	-8.288302e+01
6.900000e-07	-4.591568e-06	-1.257864e-09	-3.194544e+01	-8.271135e+01
7.000000e-07	-4.564928e-06	-1.249488e-09	-3.176009e+01	-8.253934e+01
7.100000e-07	-4.537853e-06	-1.237453e-09	-3.157172e+01	-8.236642e+01
7.200000e-07	-4.510462e-06	-1.241148e-09	-3.138115e+01	-8.219201e+01
