# 251112_11:42:17.348237
t	CH1	CH2
0.000000e+00	-8.802778e-03	-3.473660e+00
1.000000e-08	2.965986e-04	-3.516311e+00
2.000000e-08	-6.939021e-03	-3.556839e+00
3.000000e-08	1.787270e-03	-3.568944e+00
4.000000e-08	-5.717028e-03	-3.586971e+00
5.000000e-08	1.727246e-04	-3.588969e+00
6.000000e-08	-4.358099e-03	-3.601551e+00
7.000000e-08	4.196029e-04	-3.620050e+00
8.000000e-08	-5.346866e-03	-3.631032e+00
9.000000e-08	-4.608808e-03	-3.711682e+00
1.000000e-07	-6.234257e-03	-3.701907e+00
1.100000e-07	-2.536849e-03	-3.743761e+00
1.200000e-07	-3.791067e-03	-3.727941e+00
1.300000e-07	-1.931158e-03	-3.768499e+00
1.400000e-07	-1.348245e-03	-3.839124e+00
1.500000e-07	-1.591651e-03	-3.870727e+00
1.600000e-07	-1.980878e-03	-3.884858e+00
1.700000e-07	-6.165884e-03	-3.945310e+00
1.800000e-07	-4.728667e-03	-3.925467e+00
1.900000e-07	-6.183467e-03	-3.988916e+00
2.000000e-07	-2.502508e-03	-3.979945e+00
2.100000e-07	-4.468009e-03	-3.999026e+00
2.200000e-07	-8.665859e-05	-4.000024e+00
2.300000e-07	-3.581057e-03	-4.000527e+00
2.400000e-07	-7.252801e-04	-4.021125e+00
2.500000e-07	-6.741061e-03	-4.060505e+00
2.600000e-07	-3.140004e-03	-4.072202e+00
2.700000e-07	-6.564616e-03	-4.061706e+00
2.800000e-07	-2.143165e-03	-4.085263e+00
2.900000e-07	-4.606901e-03	-4.145238e+00
3.000000e-07	2.611002e-04	-4.154340e+00
3.100000e-07	-3.044733e-03	-4.135395e+00
3.200000e-07	-1.052303e-03	-4.185418e+00
3.300000e-07	-5.691009e-03	-4.217953e+00
3.400000e-07	-3.449789e-03	-4.229473e+00
3.500000e-07	-5.678535e-03	-4.211027e+00
3.600000e-07	-3.801289e-03	-4.221027e+00
3.700000e-07	-4.331081e-03	-4.211552e+00
3.800000e-07	-1.057856e-03	-4.232131e+00
3.900000e-07	-1.293328e-03	-4.282703e+00
4.000000e-07	-1.100967e-03	-4.285762e+00
4.100000e-07	-3.305035e-03	-4.334812e+00
4.200000e-07	-3.253040e-03	-4.323840e+00
4.300000e-07	-4.248727e-03	-4.335817e+00
4.400000e-07	-4.320754e-03	-4.325971e+00
4.500000e-07	-4.841502e-03	-4.355391e+00
4.600000e-07	-4.335105e-03	-4.358971e+00
4.700000e-07	-7.037635e-04	-4.388922e+00
4.800000e-07	-1.790892e-03	-4.358923e+00
4.900000e-07	-1.686156e-03	-4.379001e+00
5.000000e-07	-4.079403e-03	-4.399974e+00
5.100000e-07	-1.875017e-03	-4.390024e+00
5.200000e-07	-3.181269e-03	-4.379978e+00
5.300000e-07	-3.543064e-03	-4.419500e+00
5.400000e-07	-4.992526e-03	-4.391054e+00
5.500000e-07	-1.817364e-03	-4.420503e+00
5.600000e-07	-1.149725e-03	-4.420551e+00
5.700000e-07	-1.698900e-03	-4.411053e+00
5.800000e-07	-4.789261e-03	-4.431104e+00
5.900000e-07	-2.321766e-03	-4.421079e+00
6.000000e-07	-3.395186e-03	-4.481733e+00
6.100000e-07	-1.778832e-03	-4.442662e+00
6.200000e-07	-4.409399e-03	-4.443757e+00
6.300000e-07	-2.386503e-03	-4.463659e+00
