# Temperatura_=_-2.3
# Concentracion g/m^3_=_4090.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135070.82901459868

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.414235e-06	-1.891117e-09	-3.838981e+01	-1.235780e+02
1.000000e-08	-5.414362e-06	-1.890074e-09	-3.839071e+01	-1.234347e+02
2.000000e-08	-5.414303e-06	-1.887878e-09	-3.839029e+01	-1.232750e+02
3.000000e-08	-5.413941e-06	-1.883799e-09	-3.838772e+01	-1.231005e+02
4.000000e-08	-5.413130e-06	-1.882017e-09	-3.838197e+01	-1.229134e+02
5.000000e-08	-5.411795e-06	-1.882152e-09	-3.837251e+01	-1.227168e+02
6.000000e-08	-5.409900e-06	-1.881761e-09	-3.835907e+01	-1.225144e+02
7.000000e-08	-5.407351e-06	-1.883932e-09	-3.834100e+01	-1.223104e+02
8.000000e-08	-5.404097e-06	-1.879029e-09	-3.831792e+01	-1.221096e+02
9.000000e-08	-5.400228e-06	-1.846799e-09	-3.829049e+01	-1.219169e+02
1.000000e-07	-5.396011e-06	-1.841708e-09	-3.826059e+01	-1.217374e+02
1.100000e-07	-5.391723e-06	-1.898744e-09	-3.823019e+01	-1.215759e+02
1.200000e-07	-5.387291e-06	-1.896086e-09	-3.819876e+01	-1.214369e+02
1.300000e-07	-5.382488e-06	-1.841207e-09	-3.816471e+01	-1.213246e+02
1.400000e-07	-5.377214e-06	-1.832559e-09	-3.812731e+01	-1.212422e+02
1.500000e-07	-5.371543e-06	-1.907623e-09	-3.808710e+01	-1.211921e+02
1.600000e-07	-5.365532e-06	-1.912026e-09	-3.804448e+01	-1.211758e+02
1.700000e-07	-5.359142e-06	-1.787284e-09	-3.799917e+01	-1.211937e+02
1.800000e-07	-5.352389e-06	-1.790944e-09	-3.795128e+01	-1.212451e+02
1.900000e-07	-5.345284e-06	-1.880786e-09	-3.790091e+01	-1.213280e+02
2.000000e-07	-5.337825e-06	-1.903596e-09	-3.784802e+01	-1.214397e+02
2.100000e-07	-5.330158e-06	-1.802218e-09	-3.779365e+01	-1.215764e+02
2.200000e-07	-5.322290e-06	-1.833178e-09	-3.773787e+01	-1.217332e+02
2.300000e-07	-5.314117e-06	-1.914483e-09	-3.767992e+01	-1.219048e+02
2.400000e-07	-5.305505e-06	-1.892915e-09	-3.761885e+01	-1.220855e+02
2.500000e-07	-5.296186e-06	-1.835875e-09	-3.755278e+01	-1.222692e+02
2.600000e-07	-5.286186e-06	-1.896440e-09	-3.748187e+01	-1.224497e+02
2.700000e-07	-5.275710e-06	-1.940120e-09	-3.740759e+01	-1.226211e+02
2.800000e-07	-5.264771e-06	-1.865640e-09	-3.733003e+01	-1.227779e+02
2.900000e-07	-5.253386e-06	-1.837108e-09	-3.724930e+01	-1.229150e+02
3.000000e-07	-5.241600e-06	-1.900334e-09	-3.716573e+01	-1.230283e+02
3.100000e-07	-5.229398e-06	-1.893128e-09	-3.707922e+01	-1.231143e+02
3.200000e-07	-5.216765e-06	-1.826979e-09	-3.698964e+01	-1.231707e+02
3.300000e-07	-5.203776e-06	-1.868077e-09	-3.689754e+01	-1.231959e+02
3.400000e-07	-5.190480e-06	-1.909356e-09	-3.680326e+01	-1.231895e+02
3.500000e-07	-5.176822e-06	-1.876810e-09	-3.670642e+01	-1.231520e+02
3.600000e-07	-5.162726e-06	-1.855275e-09	-3.660647e+01	-1.230848e+02
3.700000e-07	-5.148184e-06	-1.890661e-09	-3.650336e+01	-1.229899e+02
3.800000e-07	-5.133057e-06	-1.853694e-09	-3.639611e+01	-1.228701e+02
3.900000e-07	-5.117246e-06	-1.829268e-09	-3.628400e+01	-1.227286e+02
4.000000e-07	-5.100960e-06	-1.859699e-09	-3.616852e+01	-1.225688e+02
4.100000e-07	-5.084302e-06	-1.867604e-09	-3.605041e+01	-1.223943e+02
4.200000e-07	-5.067311e-06	-1.823871e-09	-3.592993e+01	-1.222084e+02
4.300000e-07	-5.050084e-06	-1.852201e-09	-3.580778e+01	-1.220144e+02
4.400000e-07	-5.032581e-06	-1.875996e-09	-3.568368e+01	-1.218152e+02
4.500000e-07	-5.014716e-06	-1.843854e-09	-3.555700e+01	-1.216132e+02
4.600000e-07	-4.996466e-06	-1.816467e-09	-3.542760e+01	-1.214101e+02
4.700000e-07	-4.977888e-06	-1.837528e-09	-3.529587e+01	-1.212071e+02
4.800000e-07	-4.959007e-06	-1.827350e-09	-3.516200e+01	-1.210050e+02
4.900000e-07	-4.939758e-06	-1.813782e-09	-3.502551e+01	-1.208036e+02
5.000000e-07	-4.920155e-06	-1.809779e-09	-3.488651e+01	-1.206024e+02
5.100000e-07	-4.900271e-06	-1.811292e-09	-3.474553e+01	-1.204005e+02
5.200000e-07	-4.880193e-06	-1.816722e-09	-3.460316e+01	-1.201966e+02
5.300000e-07	-4.859935e-06	-1.827135e-09	-3.445952e+01	-1.199892e+02
5.400000e-07	-4.839305e-06	-1.809742e-09	-3.431325e+01	-1.197765e+02
