# Temperatura_=_14.32
# Concentracion g/m^3_=_4090.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135086.9426863118

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.406696e-06	-1.260548e-09	-3.839394e+01	-8.574231e+01
1.000000e-08	-5.406963e-06	-1.249536e-09	-3.839584e+01	-8.558016e+01
2.000000e-08	-5.406959e-06	-1.244864e-09	-3.839581e+01	-8.540551e+01
3.000000e-08	-5.406661e-06	-1.243440e-09	-3.839369e+01	-8.521954e+01
4.000000e-08	-5.406008e-06	-1.247607e-09	-3.838906e+01	-8.502406e+01
5.000000e-08	-5.404951e-06	-1.254351e-09	-3.838155e+01	-8.482140e+01
6.000000e-08	-5.403363e-06	-1.258615e-09	-3.837027e+01	-8.461443e+01
7.000000e-08	-5.401066e-06	-1.265609e-09	-3.835396e+01	-8.440652e+01
8.000000e-08	-5.398147e-06	-1.275936e-09	-3.833323e+01	-8.420137e+01
9.000000e-08	-5.394685e-06	-1.272935e-09	-3.830865e+01	-8.400300e+01
1.000000e-07	-5.390836e-06	-1.211341e-09	-3.828132e+01	-8.381553e+01
1.100000e-07	-5.386736e-06	-1.191223e-09	-3.825220e+01	-8.364310e+01
1.200000e-07	-5.382473e-06	-1.239092e-09	-3.822193e+01	-8.348969e+01
1.300000e-07	-5.377970e-06	-1.299002e-09	-3.818995e+01	-8.335897e+01
1.400000e-07	-5.373066e-06	-1.234490e-09	-3.815513e+01	-8.325414e+01
1.500000e-07	-5.367705e-06	-1.192664e-09	-3.811706e+01	-8.317783e+01
1.600000e-07	-5.361942e-06	-1.279253e-09	-3.807614e+01	-8.313194e+01
1.700000e-07	-5.355776e-06	-1.345562e-09	-3.803235e+01	-8.311755e+01
1.800000e-07	-5.349110e-06	-1.216372e-09	-3.798501e+01	-8.313485e+01
1.900000e-07	-5.342095e-06	-1.159305e-09	-3.793520e+01	-8.318312e+01
2.000000e-07	-5.334899e-06	-1.268340e-09	-3.788410e+01	-8.326072e+01
2.100000e-07	-5.327445e-06	-1.340170e-09	-3.783117e+01	-8.336509e+01
2.200000e-07	-5.319626e-06	-1.257142e-09	-3.777564e+01	-8.349285e+01
2.300000e-07	-5.311683e-06	-1.263970e-09	-3.771924e+01	-8.363989e+01
2.400000e-07	-5.303555e-06	-1.362410e-09	-3.766152e+01	-8.380149e+01
2.500000e-07	-5.294809e-06	-1.343169e-09	-3.759941e+01	-8.397247e+01
2.600000e-07	-5.285189e-06	-1.279883e-09	-3.753110e+01	-8.414737e+01
2.700000e-07	-5.274901e-06	-1.318173e-09	-3.745804e+01	-8.432062e+01
2.800000e-07	-5.264270e-06	-1.383579e-09	-3.738255e+01	-8.448672e+01
2.900000e-07	-5.253202e-06	-1.304500e-09	-3.730395e+01	-8.464042e+01
3.000000e-07	-5.241620e-06	-1.258296e-09	-3.722171e+01	-8.477690e+01
3.100000e-07	-5.229629e-06	-1.332098e-09	-3.713655e+01	-8.489190e+01
3.200000e-07	-5.217289e-06	-1.369708e-09	-3.704893e+01	-8.498185e+01
3.300000e-07	-5.204600e-06	-1.267183e-09	-3.695882e+01	-8.504399e+01
3.400000e-07	-5.191511e-06	-1.270481e-09	-3.686588e+01	-8.507638e+01
3.500000e-07	-5.177994e-06	-1.334999e-09	-3.676989e+01	-8.507799e+01
3.600000e-07	-5.164137e-06	-1.344320e-09	-3.667149e+01	-8.504864e+01
3.700000e-07	-5.149888e-06	-1.289175e-09	-3.657030e+01	-8.498900e+01
3.800000e-07	-5.135130e-06	-1.307031e-09	-3.646550e+01	-8.490050e+01
3.900000e-07	-5.119685e-06	-1.291093e-09	-3.635583e+01	-8.478521e+01
